quantidade;quantidade;quantidade;quantidade;quantidade;quantidade;valor;valor;valor;valor;valor;valor
BNDES AUTOMÁTICO;BNDES FINAME;BNDES FINEM;BNDES NÃO REEMBOLSÁVEL;BNDES-EXIM;CARTÃO BNDES;BNDES AUTOMÁTICO;BNDES FINAME;BNDES FINEM;BNDES NÃO REEMBOLSÁVEL;BNDES-EXIM;CARTÃO BNDES
4316.0;23946.0;464.0;0.0;31.0;0.0;879537462.4999994;3039332511.31852;391271546.0600001;0.0;85815610.86;0.0
5596.0;14154.0;673.0;0.0;42.0;0.0;1366245406.6599987;2338392472.4794545;695016989.4899995;0.0;86244608.5;0.0
7071.0;15626.0;757.0;0.0;75.0;0.0;2183590487.5500107;2778557801.8391676;561312035.3199996;0.0;527858086.35999995;0.0
8824.0;17747.0;199.0;2.0;139.0;0.0;2304449288.960002;3836664373.9794655;865093549.6099999;249878.51;895063673.16;0.0
7249.0;16672.0;245.0;3.0;172.0;0.0;1792052660.0000014;2491378822.979977;3164208743.7400002;316909.34;1453388388.82;0.0
11418.0;24690.0;240.0;3.0;233.0;0.0;1760407407.4200044;3947273647.0499916;4015186516.040003;184119.3;2327478406.1;0.0
13727.0;29577.0;221.0;0.0;205.0;0.0;2278265501.1399927;5351530529.429946;3705562261.979997;0.0;2065078553.8900003;0.0
14085.0;33930.0;232.0;0.0;523.0;0.0;2470806176.560003;7315337746.769922;1607100878.6699994;0.0;4044141107.3000026;0.0
13485.0;36212.0;176.0;0.0;471.0;77.0;2764920016.1600018;8587661805.81994;1252678860.820001;0.0;5603068722.210003;1170253.2399999995
15883.0;16918.0;168.0;0.0;286.0;791.0;3470433616.1899962;11444796714.770046;1666783287.9299996;0.0;5464006928.819999;12141961.260000011
16221.0;34754.0;157.0;0.0;234.0;3558.0;3653677989.6999907;11985215662.489958;1885265984.8000011;0.0;7303354542.73;71707185.39999965
15546.0;32879.0;167.0;0.0;284.0;9442.0;3589717393.569995;12887099889.979921;2700812786.789999;0.0;9792699798.989992;225191017.9800009
20888.0;44101.0;264.0;0.0;191.0;19296.0;5077260814.059996;20548169710.87011;5111615177.099995;0.0;6734710178.759997;509176727.26000166
14863.0;49935.0;347.0;0.0;214.0;28164.0;5515037233.110028;26506939357.130005;6041128837.359995;0.0;9554665590.5;845702359.2399876
21266.0;54116.0;375.0;0.0;272.0;63012.0;10314658465.999771;24127590907.440025;9874742289.179993;0.0;11360322632.179993;2478550133.0599957
20907.0;100070.0;320.0;0.0;582.0;97311.0;13407103407.179754;52721669908.85986;7790047095.859984;0.0;15526891812.709972;4313987811.609954
24474.0;104446.0;301.0;0.0;301.0;137611.0;11273101303.599865;52400456685.94979;6275402674.059995;0.0;6726301711.339988;7574083555.619735
31025.0;103453.0;324.0;0.0;327.0;166976.0;16421961745.919924;43580358898.31979;7978114958.949984;0.0;6558220001.389988;9543395946.340065
30152.0;129945.0;487.0;0.0;340.0;175901.0;14601726639.950108;70459611815.21024;11298280797.019995;0.0;9666161019.36998;10022633506.370615
24439.0;114714.0;506.0;0.0;232.0;183505.0;11343452361.89003;64770550104.76991;11381008321.069984;0.0;4482410037.159997;11547453990.569475
23364.0;73511.0;734.0;0.0;74.0;175202.0;11742082676.549953;32730984725.310165;8485823738.64999;0.0;1169647507.5500004;11251941530.959341
30478.0;40021.0;683.0;0.0;178.0;124284.0;12854358418.499828;17687960199.30992;3238949186.5199966;0.0;8803305541.049995;5636469853.119875
39240.0;37665.0;316.0;0.0;28.0;76129.0;15205409311.489746;19695941322.06003;3828495435.959999;0.0;150457307.54000005;2685267203.790068
37572.0;34747.0;146.0;0.0;8.0;57130.0;12254259745.350008;19012160253.280075;1354351968.6500003;0.0;266516360.46;1880215530.3399947
35088.0;32831.0;142.0;0.0;8.0;49313.0;9391381361.73;16586570989.53998;994754690.9999998;0.0;353399762.38;1643227086.5799956
46396.0;29560.0;77.0;0.0;2.0;34261.0;15571381419.710054;16113125871.489985;633716426.7400001;0.0;59372000.0;1196492459.1400025
