"ano";"bndes_finem";"bndes_exim";"bndes_nao_reembolsavel";"bndes_automatico";"bndes_finame";"cartao_bndes"
1995;406;73;"0,0";4393;45825;"0,0"
1996;658;101;"0,0";5031;23576;"0,0"
1997;746;98;"0,0";26587;27397;"0,0"
1998;168;222;"1,0";13742;28612;"0,0"
1999;369;285;"2,0";27947;30602;"0,0"
2000;531;332;"2,0";48072;54250;"0,0"
2001;722;259;"0,0";77802;64067;"0,0"
2002;381;747;"0,0";43359;79457;"0,0"
2003;278;711;"0,0";30166;70721;"97,0"
2004;328;374;"0,0";59720;73448;"1029,0"
2005;273;485;"0,0";50745;60179;"5790,0"
2006;250;564;"0,0";47406;55183;"17655,0"
2007;393;331;"0,0";84090;81614;"38160,0"
2008;543;358;"0,0";39243;101964;"60265,0"
2009;710;434;"0,0";96824;116291;"174276,0"
2010;499;936;"0,0";67135;218188;"320673,0"
2011;593;406;"0,0";71455;280280;"540813,0"
2012;460;415;"0,0";97170;219839;"707457,0"
2013;543;457;"0,0";123525;257089;"759729,0"
2014;501;344;"0,0";100266;231053;"795242,0"
2015;546;99;"0,0";76424;127883;"746734,0"
2016;348;320;"0,0";92514;80177;"422268,0"
2017;303;32;"0,0";118134;71895;"191859,0"
2018;113;9;"0,0";111747;65104;"129800,0"
2019;71;10;"0,0";101768;57710;"110085,0"
2020;40;2;"0,0";105645;47892;"69147,0"
