"ano";"micro";"pequena";"media";"grande"
1995;34167;"0,0";367;17569
1996;17681;"0,0";489;12857
1997;41614;"1,0";361;14563
1998;25422;"257,0";5407;13617
1999;48427;"2973,0";3189;6257
2000;88203;"5999,0";3914;6427
2001;125077;"7137,0";4611;7150
2002;103856;"8486,0";5229;7560
2003;79026;"11341,0";6119;6556
2004;112998;"8668,0";6708;7582
2005;88474;"11804,0";8391;9938
2006;85485;"14933,0";9681;12070
2007;142987;"26574,0";16428;19886
2008;118970;"38457,0";22431;24183
2009;265975;"72318,0";28725;23711
2010;425470;"93766,0";47308;43350
2011;643478;"136630,0";63039;53299
2012;775730;"152619,0";61269;38822
2013;864152;"172834,0";64262;43014
2014;823048;"191512,0";72281;43361
2015;698342;"169177,0";58659;28030
2016;421897;"107117,0";42431;26120
2017;185478;"115852,0";65561;16948
2018;135487;"106913,0";55752;10128
2019;126069;"98199,0";40861;5652
2020;102238;"83944,0";33688;3904
